model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
qwen,True,False,4.5,pim,1,64,0.005746659771779273,0.0,nan,1
qwen,True,False,4.5,pim,2,64,0.0057468784188530525,0.0,nan,2
qwen,True,False,4.5,pim,3,64,0.005747097065926832,0.0,nan,3
qwen,True,False,4.5,pim,4,64,0.005747279271821649,0.0,nan,4
qwen,True,False,4.5,pim,5,64,0.005747570801253355,0.0,nan,5
qwen,True,False,4.5,pim,6,64,0.005747935213042988,0.0,nan,6
qwen,True,False,4.5,pim,7,64,0.005748117418937804,0.0,nan,7
qwen,True,False,4.5,pim,8,64,0.005748372507190547,0.0,nan,8
qwen,True,False,4.5,pim,9,64,0.005748930951366614,0.0,nan,9
qwen,True,False,4.5,pim,10,64,0.005749149598440394,0.0,nan,10
qwen,True,False,4.5,pim,11,64,0.005749368245514174,0.0,nan,11
qwen,True,False,4.5,pim,12,64,0.0057503393691504525,0.0,nan,12
qwen,True,False,4.5,pim,13,64,0.005750558016224232,0.0,nan,13
qwen,True,False,4.5,pim,14,64,0.005750740222119049,0.0,nan,14
qwen,True,False,4.5,pim,15,64,0.005751031751550755,0.0,nan,15
qwen,True,False,4.5,pim,16,64,0.005751772401621638,0.0,nan,0
qwen,True,False,4.5,pim,17,64,0.006224249306320952,36.1455078125,0.06714873771552499,1
qwen,True,False,4.5,pim,18,64,0.0061279347733253315,39.765625,0.07618231274252679,2
qwen,True,False,4.5,pim,19,63,0.006218096980442904,41.87353515625,0.10370845321284258,3
qwen,True,False,4.5,pim,20,63,0.006218099095018086,45.41650390625,0.10731306005996744,4
qwen,True,False,4.5,pim,21,63,0.006218477447874518,48.97314453125,0.10983702970743307,5
qwen,True,False,4.5,pim,22,62,0.0061194661620838945,51.65234375,0.12431554896883847,6
qwen,True,False,4.5,pim,23,68,0.006426110385421238,55.10302734375,0.1258987745773967,7
qwen,True,False,4.5,pim,24,67,0.0061363980981288145,58.40478515625,0.1280197226929262,8
qwen,True,False,4.5,pim,25,66,0.006231563122958066,61.45703125,0.13553124409323072,9
qwen,True,False,4.5,pim,26,65,0.0063244217304414445,63.56005859375,0.14486430349722715,10
qwen,True,False,4.5,pim,27,65,0.006228106492587429,66.9638671875,0.14549292501413136,11
qwen,True,False,4.5,pim,28,65,0.0062281089595918075,70.32666015625,0.1467691923876291,12
qwen,True,False,4.5,pim,29,65,0.006228111074166989,73.72119140625,0.14795851630542728,13
qwen,True,False,4.5,pim,30,65,0.006228113188742171,77.06689453125,0.14854895933067275,14
qwen,True,False,4.5,pim,31,64,0.006128332509787594,78.64404296875,0.15595242753891791,15
qwen,True,False,4.5,pim,32,64,0.006224651624362776,81.9482421875,0.15656768920421607,0
qwen,True,False,4.5,pim,33,64,0.00632097038650876,49.498046875,0.050954870944360825,1
qwen,True,False,4.5,pim,34,68,0.006425361433150707,53.4267578125,0.05929155329912004,2
qwen,True,False,4.5,pim,35,68,0.006329422786007138,57.3486328125,0.06524755545207042,3
qwen,True,False,4.5,pim,36,68,0.006426119901009555,61.2763671875,0.06956157002057439,4
qwen,True,False,4.5,pim,37,68,0.006330181253865986,65.216796875,0.07451975596113394,5
qwen,True,False,4.5,pim,38,68,0.006330183720870365,69.14892578125,0.07710130543578429,6
qwen,True,False,4.5,pim,39,68,0.0063301854830163495,73.08154296875,0.08003369454039673,7
qwen,True,False,4.5,pim,40,67,0.0064241999423916415,76.021484375,0.0900834947361223,8
qwen,True,False,4.5,pim,41,67,0.00623156840939602,79.87158203125,0.09088077587372799,9
qwen,True,False,4.5,pim,42,67,0.006327887876400398,83.7158203125,0.09216273599107687,10
qwen,True,False,4.5,pim,43,67,0.006327889638546383,87.58837890625,0.09335232910644231,11
qwen,True,False,4.5,pim,44,75,0.006443829336089957,91.47705078125,0.09385015608993359,12
qwen,True,False,4.5,pim,45,75,0.00634789174623398,95.3564453125,0.09466386822768072,13
qwen,True,False,4.5,pim,46,75,0.0063482718612363955,99.22021484375,0.09512392336211559,14
qwen,True,False,4.5,pim,47,75,0.006251957680669971,103.10009765625,0.09572373107143492,15
qwen,True,False,4.5,pim,48,75,0.00634827714767435,106.98974609375,0.09647992188244776,0
qwen,True,False,4.5,pim,49,75,0.006348278909820334,60.9609375,0.03768195708697195,1
qwen,True,False,4.5,pim,50,75,0.00634828172925391,65.46875,0.04452465438641147,2
qwen,True,False,4.5,pim,51,75,0.006348660434539538,69.9296875,0.04969979893071426,3
qwen,True,False,4.5,pim,52,75,0.006444980253973114,74.44091796875,0.053560484918455546,4
qwen,True,False,4.5,pim,53,75,0.006541675606829545,78.9638671875,0.05653926641148223,5
qwen,True,False,4.5,pim,54,80,0.006458056061039148,83.48779296875,0.05817764779442155,6
qwen,True,False,4.5,pim,55,80,0.00655475247118317,88.00830078125,0.060822885495410824,7
qwen,True,False,4.5,pim,56,79,0.006457290544596361,92.05810546875,0.0671315356059624,8
qwen,True,False,4.5,pim,57,79,0.006457293364029937,96.53564453125,0.0688506071072511,9
qwen,True,False,4.5,pim,58,79,0.006553989421744763,101.02587890625,0.06965609307532936,10
qwen,True,False,4.5,pim,59,79,0.006458426660453247,105.49267578125,0.07077826601664658,11
qwen,True,False,4.5,pim,60,79,0.006362489070597269,109.994140625,0.0719831675418139,12
qwen,True,False,4.5,pim,61,79,0.0066514428900308455,114.4951171875,0.07302183819655676,13
