model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
llama4,True,False,2.0,pim,1,64,0.004517568876429839,0.0,nan,1
llama4,True,False,2.0,pim,2,64,0.004517681726532435,0.0,nan,2
llama4,True,False,2.0,pim,3,64,0.004518323264391521,0.0,nan,3
llama4,True,False,2.0,pim,4,64,0.004518605389648011,0.0,nan,4
llama4,True,False,2.0,pim,5,64,0.004518887514904501,0.0,nan,5
llama4,True,False,2.0,pim,6,64,0.004519451765417481,0.0,nan,6
llama4,True,False,2.0,pim,7,64,0.004519790315725269,0.0,nan,7
llama4,True,False,2.0,pim,8,64,0.004520185291084355,0.0,nan,8
llama4,True,False,2.0,pim,9,64,0.004520713978840844,0.0,nan,9
llama4,True,False,2.0,pim,10,64,0.004521411941751229,0.0,nan,10
llama4,True,False,2.0,pim,11,64,0.0045219197672129105,0.0,nan,11
llama4,True,False,2.0,pim,12,64,0.0045220326173155065,0.0,nan,12
llama4,True,False,2.0,pim,13,63,0.004514988024531813,0.0,nan,13
llama4,True,False,2.0,pim,14,63,0.004515270149788303,0.0,nan,14
llama4,True,False,2.0,pim,15,63,0.004515552275044793,0.0,nan,15
llama4,True,False,2.0,pim,16,62,0.004508451257209802,0.0,nan,0
llama4,True,False,2.0,pim,17,62,0.004602362157118773,77.443359375,0.05602070275748588,1
llama4,True,False,2.0,pim,18,62,0.004602365976996521,85.560546875,0.06141247864647666,2
llama4,True,False,2.0,pim,19,62,0.004539248159783804,93.64111328125,0.0650127520678637,3
llama4,True,False,2.0,pim,20,62,0.004571059087858373,101.72607421875,0.06742875059502813,4
llama4,True,False,2.0,pim,21,62,0.0046026239991297626,109.89013671875,0.0701047019531604,5
llama4,True,False,2.0,pim,22,62,0.004602625090523405,118.01025390625,0.07173565814063854,6
llama4,True,False,2.0,pim,23,62,0.004634188910401152,126.1396484375,0.07367837404747943,7
llama4,True,False,2.0,pim,24,61,0.004602121597283805,133.85498046875,0.07708228173606288,8
llama4,True,False,2.0,pim,25,61,0.00453900432576791,141.93701171875,0.07854060535645098,9
llama4,True,False,2.0,pim,26,60,0.0045997928497227706,146.9287109375,0.09095094558281827,10
llama4,True,False,2.0,pim,27,60,0.004599795578206877,154.8857421875,0.09213586481431985,11
llama4,True,False,2.0,pim,28,60,0.004631605960584624,162.83447265625,0.09339119420242398,12
llama4,True,False,2.0,pim,29,63,0.004569784256703151,170.78662109375,0.09409492869496829,13
