model,sparse_enable,scheduling_enable,qps,hardware_name,iteration,request_batch_size,iteration_latency,average_utilization,normalized_variance,scheduling_remainder
llama4,True,False,3.0,pim,1,64,0.005357616931976476,0.0,nan,1
llama4,True,False,3.0,pim,2,64,0.005357899057232966,0.0,nan,2
llama4,True,False,3.0,pim,3,64,0.00535831489488686,0.0,nan,3
llama4,True,False,3.0,pim,4,63,0.005353738303898597,0.0,nan,4
llama4,True,False,3.0,pim,5,63,0.005353907579052491,0.0,nan,5
llama4,True,False,3.0,pim,6,63,0.005354020429155087,0.0,nan,6
llama4,True,False,3.0,pim,7,63,0.0053545846796680665,0.0,nan,7
llama4,True,False,3.0,pim,8,63,0.0053552617802836424,0.0,nan,8
llama4,True,False,3.0,pim,9,63,0.00535560033059143,0.0,nan,9
llama4,True,False,3.0,pim,10,63,0.00535612901834792,0.0,nan,10
llama4,True,False,3.0,pim,11,63,0.005356749693912198,0.0,nan,11
llama4,True,False,3.0,pim,12,63,0.005357031819168688,0.0,nan,12
llama4,True,False,3.0,pim,13,63,0.005357201094322582,0.0,nan,13
llama4,True,False,3.0,pim,14,63,0.00535803276963037,0.0,nan,14
llama4,True,False,3.0,pim,15,63,0.005358202044784264,0.0,nan,15
llama4,True,False,3.0,pim,16,63,0.00535856145738686,0.0,nan,0
llama4,True,False,3.0,pim,17,63,0.005396530688235075,75.4033203125,0.05925510848945813,1
llama4,True,False,3.0,pim,18,63,0.005491217236596928,83.43603515625,0.06559001759059621,2
llama4,True,False,3.0,pim,19,61,0.005390818185313554,86.50244140625,0.0932327581985091,3
llama4,True,False,3.0,pim,20,61,0.005453940913797659,94.07421875,0.0956970294446028,4
llama4,True,False,3.0,pim,21,61,0.00535926637076587,101.7041015625,0.09772941209537235,5
llama4,True,False,3.0,pim,22,61,0.005517315661749975,109.328125,0.09872413258359665,6
llama4,True,False,3.0,pim,23,61,0.0054541972988404385,116.93701171875,0.10083563568963996,7
llama4,True,False,3.0,pim,24,61,0.005517320573021365,124.51708984375,0.10094054005303121,8
llama4,True,False,3.0,pim,25,65,0.00539547950031337,132.13916015625,0.10222841314778558,9
llama4,True,False,3.0,pim,26,65,0.005395727154207011,139.75830078125,0.10229993685234391,10
llama4,True,False,3.0,pim,27,65,0.005395732611175222,147.34130859375,0.10292287994168134,11
llama4,True,False,3.0,pim,28,65,0.005364179705233896,154.98486328125,0.10325425103865679,12
llama4,True,False,3.0,pim,29,64,0.0054267678357596,161.29248046875,0.10825728990141642,13
llama4,True,False,3.0,pim,30,64,0.005426771109940527,168.83544921875,0.10850966560374356,14
llama4,True,False,3.0,pim,31,63,0.005394705979610464,175.80712890625,0.11028458265515398,15
llama4,True,False,3.0,pim,32,63,0.00536314925379139,183.3349609375,0.11024083406444893,0
llama4,True,False,3.0,pim,33,63,0.005457830890881853,104.15185546875,0.04471328982593147,1
llama4,True,False,3.0,pim,34,63,0.0054262747107596005,112.50830078125,0.04889469431904838,2
llama4,True,False,3.0,pim,35,63,0.005426276347850064,120.876953125,0.05234045686918551,3
llama4,True,False,3.0,pim,36,63,0.005457836893546885,129.27392578125,0.05498531132459161,4
llama4,True,False,3.0,pim,37,73,0.005572761036149958,136.9375,0.06290137267270243,5
llama4,True,False,3.0,pim,38,73,0.005478581255208632,145.25244140625,0.06456977964280176,6
llama4,True,False,3.0,pim,39,73,0.005447023437995916,153.568359375,0.0663014513063626,7
llama4,True,False,3.0,pim,40,73,0.005510147257873663,161.8544921875,0.067552216159972,8
llama4,True,False,3.0,pim,41,73,0.005541712714841874,170.1923828125,0.06839534683961392,9
llama4,True,False,3.0,pim,42,73,0.005478597626113264,178.55322265625,0.06889905897808189,10
llama4,True,False,3.0,pim,43,73,0.005510406371400547,186.861328125,0.06953558665983768,11
llama4,True,False,3.0,pim,44,73,0.005510904407671937,195.20654296875,0.0705882827596258,12
llama4,True,False,3.0,pim,45,73,0.005447786590459221,203.4970703125,0.07167383884812545,13
llama4,True,False,3.0,pim,46,72,0.005415716003160947,211.3798828125,0.07141302883064497,14
llama4,True,False,3.0,pim,47,72,0.005479088022629157,219.68408203125,0.07184474366616421,15
llama4,True,False,3.0,pim,48,72,0.005574021133491011,227.98388671875,0.07228680643110086,0
llama4,True,False,3.0,pim,49,74,0.005576088039041055,132.21240234375,0.03028046788431712,1
llama4,True,False,3.0,pim,50,73,0.0056699934269445066,141.265625,0.04187196034350509,2
llama4,True,False,3.0,pim,51,73,0.0055437588839127175,151.18359375,0.045011529508805236,3
llama4,True,False,3.0,pim,52,73,0.005575323795184107,161.1142578125,0.047505829460209134,4
llama4,True,False,3.0,pim,53,73,0.005543765977971391,171.00341796875,0.05001487072991866,5
llama4,True,False,3.0,pim,54,73,0.005575330889242781,180.931640625,0.0510545672246959,6
llama4,True,False,3.0,pim,55,73,0.005575333072030065,190.83349609375,0.05238023317117608,7
llama4,True,False,3.0,pim,56,73,0.005606894709120528,200.73779296875,0.05321470995792674,8
llama4,True,False,3.0,pim,57,73,0.00554378071178556,210.6513671875,0.054730978202625166,9
llama4,True,False,3.0,pim,58,72,0.005637692648050864,220.60009765625,0.05571411669721654,10
llama4,True,False,3.0,pim,59,72,0.005606134830838149,230.4873046875,0.05665634520125148,11
llama4,True,False,3.0,pim,60,72,0.005543018650715896,240.41015625,0.05735422175931698,12
llama4,True,False,3.0,pim,61,75,0.005544579334542235,250.36767578125,0.05825613188837682,13
llama4,True,False,3.0,pim,62,75,0.005576145337207267,260.28271484375,0.059060336117509896,14
llama4,True,False,3.0,pim,63,75,0.005544587519994551,270.2060546875,0.05972412279848146,15
llama4,True,False,3.0,pim,64,75,0.00563927243126594,280.07275390625,0.06020818227553289,0
llama4,True,False,3.0,pim,65,75,0.005607714614053225,150.72412109375,0.029041765041695044,1
llama4,True,False,3.0,pim,66,75,0.005607716251143688,161.232421875,0.03325103722100258,2
llama4,True,False,3.0,pim,67,75,0.00557616225380872,171.7109375,0.036217502939646234,3
llama4,True,False,3.0,pim,68,75,0.005576168802170572,182.2041015625,0.03868107999077201,4
llama4,True,False,3.0,pim,69,74,0.005606943276137603,191.236328125,0.04785910439910856,5
llama4,True,False,3.0,pim,70,74,0.00567006709601535,201.6396484375,0.04939689319990846,6
llama4,True,False,3.0,pim,71,74,0.005606952552983561,212.08154296875,0.050935816240853554,7
llama4,True,False,3.0,pim,72,74,0.005607205118148593,222.48291015625,0.05184556136354667,8
llama4,True,False,3.0,pim,73,75,0.005702143140281835,232.91455078125,0.05285166976632356,9
llama4,True,False,3.0,pim,74,75,0.005575908051553225,243.275390625,0.05391132741757542,10
llama4,True,False,3.0,pim,75,75,0.005607469688643688,253.6787109375,0.054875393772537334,11
llama4,True,False,3.0,pim,76,75,0.005575911325734152,264.0478515625,0.05509542431693685,12
llama4,True,False,3.0,pim,77,75,0.005639037328399183,274.4248046875,0.055829452092709404,13
llama4,True,False,3.0,pim,78,75,0.005639043876761036,284.7822265625,0.05632674099899992,14
llama4,True,False,3.0,pim,79,75,0.0055759266052451415,295.14697265625,0.056849317870829814,15
llama4,True,False,3.0,pim,80,74,0.005638279632904087,304.1005859375,0.059181988386610866,0
llama4,True,False,3.0,pim,81,73,0.005635168633491011,155.9921875,0.03381965143531137,1
llama4,True,False,3.0,pim,82,73,0.005540494636156043,166.41064453125,0.03730559782859639,2
llama4,True,False,3.0,pim,83,73,0.005603616818943327,176.8291015625,0.04007711868123152,3
llama4,True,False,3.0,pim,84,73,0.005603868292714716,187.2685546875,0.04178090866773652,4
llama4,True,False,3.0,pim,85,75,0.0056077648181607626,197.71044921875,0.04346020545438192,5
llama4,True,False,3.0,pim,86,75,0.005670887000948047,208.1025390625,0.04505697247345555,6
llama4,True,False,3.0,pim,87,75,0.0056077724579162574,218.54736328125,0.046005046121076885,7
llama4,True,False,3.0,pim,88,75,0.005639338460581289,229.01611328125,0.04656921460682652,8
llama4,True,False,3.0,pim,89,75,0.0055762211890653945,239.4580078125,0.04745059155707318,9
llama4,True,False,3.0,pim,90,75,0.005544665008943142,249.87939453125,0.048262693284612766,10
llama4,True,False,3.0,pim,91,75,0.005544670465911353,260.28857421875,0.04920506140414781,11
llama4,True,False,3.0,pim,92,75,0.005639356468576384,270.76318359375,0.049884051186159455,12
llama4,True,False,3.0,pim,93,75,0.005576485213863668,281.23291015625,0.05055153896792308,13
llama4,True,False,3.0,pim,94,75,0.005576490125135058,291.67138671875,0.0509086006992602,14
llama4,True,False,3.0,pim,95,75,0.005608052307922342,302.0908203125,0.05117955601262484,15
llama4,True,False,3.0,pim,96,75,0.005576987615709626,312.48974609375,0.051505660005965355,0
llama4,True,False,3.0,pim,97,81,0.005652576169718882,163.9873046875,0.03272749604615272,1
llama4,True,False,3.0,pim,98,81,0.005652582172383913,174.853515625,0.03572857623953739,2
llama4,True,False,3.0,pim,99,81,0.005652584900868019,185.7099609375,0.038396473569905575,3
llama4,True,False,3.0,pim,100,81,0.005621029812139408,196.529296875,0.04068127320694863,4
llama4,True,False,3.0,pim,101,81,0.005684402923001261,207.35009765625,0.041947310256493314,5
llama4,True,False,3.0,pim,102,81,0.005652850017059935,218.21142578125,0.042853398184431526,6
llama4,True,False,3.0,pim,103,81,0.0055897321998472195,229.09423828125,0.043654508347314325,7
llama4,True,False,3.0,pim,104,81,0.005621297111118609,239.9794921875,0.04485612832103449,8
llama4,True,False,3.0,pim,105,81,0.005652859293905893,250.8203125,0.04615206931249211,9
llama4,True,False,3.0,pim,106,81,0.0056528614766931775,261.67578125,0.04695060266699012,10
llama4,True,False,3.0,pim,107,81,0.005558433496161388,272.474609375,0.04771380912040353,11
llama4,True,False,3.0,pim,108,81,0.005653366061326419,283.3115234375,0.048404955136515555,12
llama4,True,False,3.0,pim,109,83,0.005625440199064654,294.1435546875,0.0492588831022919,13
llama4,True,False,3.0,pim,110,83,0.005657251672836044,305.02880859375,0.04958173893574975,14
llama4,True,False,3.0,pim,111,82,0.005624666132664927,313.76123046875,0.05454027702761546,15
llama4,True,False,3.0,pim,112,82,0.005687793226723601,324.53369140625,0.05494122096045147,0
llama4,True,False,3.0,pim,113,82,0.005656482517707707,177.48828125,0.02718232713413817,1
llama4,True,False,3.0,pim,114,82,0.0056567339914790965,189.44580078125,0.030963208968092903,2
llama4,True,False,3.0,pim,115,82,0.005625176719963201,201.3837890625,0.033609265490508126,3
llama4,True,False,3.0,pim,116,82,0.005688545465250485,213.35546875,0.03553971575858392,4
llama4,True,False,3.0,pim,117,82,0.005688550922218696,225.330078125,0.03756774027405164,5
llama4,True,False,3.0,pim,118,82,0.005783483487383728,237.31640625,0.03937881308782891,6
llama4,True,False,3.0,pim,119,82,0.005688806215867833,249.34033203125,0.04089007109978773,7
llama4,True,False,3.0,pim,120,82,0.005720370581442402,261.3359375,0.04232270815782957,8
llama4,True,False,3.0,pim,121,87,0.00569792648480997,273.3349609375,0.043279691721169904,9
llama4,True,False,3.0,pim,122,87,0.0057294935788686436,285.3203125,0.04405832452405352,10
llama4,True,False,3.0,pim,123,87,0.005666376307352749,297.34765625,0.044764562921195745,11
llama4,True,False,3.0,pim,124,87,0.005666382310017781,309.294921875,0.04560888081040766,12
llama4,True,False,3.0,pim,125,87,0.005666631601001886,321.28955078125,0.04651101133622131,13
llama4,True,False,3.0,pim,126,87,0.0057613143294859915,333.2431640625,0.04709628713844685,14
llama4,True,False,3.0,pim,127,86,0.005697163878043485,342.8544921875,0.052528353165665044,15
llama4,True,False,3.0,pim,128,86,0.005760290972102159,354.77783203125,0.052953516338176944,0
llama4,True,False,3.0,pim,129,86,0.005760293700586264,189.14697265625,0.02269616415706425,1
llama4,True,False,3.0,pim,130,86,0.0057602975204640115,201.94140625,0.02700360509280033,2
llama4,True,False,3.0,pim,131,86,0.005728744068825864,214.7333984375,0.02953141095839661,3
llama4,True,False,3.0,pim,132,91,0.005735465741013871,227.5400390625,0.03223312399944281,4
llama4,True,False,3.0,pim,133,91,0.005704402685891618,240.3232421875,0.03444947504282516,5
llama4,True,False,3.0,pim,134,91,0.005735968688556649,253.1396484375,0.03604117231975557,6
llama4,True,False,3.0,pim,135,91,0.005768025087737576,265.9462890625,0.0375291772565482,7
llama4,True,False,3.0,pim,136,91,0.005768274378721682,278.751953125,0.0388011136570309,8
llama4,True,False,3.0,pim,137,91,0.005862960381386714,291.548828125,0.04001426954899583,9
llama4,True,False,3.0,pim,138,91,0.005768534037945387,304.3759765625,0.041165978217943405,10
llama4,True,False,3.0,pim,139,91,0.005736976766429492,317.1728515625,0.04223814132074423,11
llama4,True,False,3.0,pim,140,91,0.00570591371130724,329.95068359375,0.042955124105494874,12
llama4,True,False,3.0,pim,141,91,0.0057692868221690926,342.728515625,0.04342951639391312,13
llama4,True,False,3.0,pim,142,91,0.0057692944619245875,355.55517578125,0.043953434321820466,14
llama4,True,False,3.0,pim,143,93,0.005864748528324315,368.3583984375,0.04463514766145851,15
llama4,True,False,3.0,pim,144,93,0.005770567655989346,381.185546875,0.04515071727446763,0
llama4,True,False,3.0,pim,145,93,0.005896810930170272,202.84423828125,0.02407350526068694,1
llama4,True,False,3.0,pim,146,93,0.005707453658654378,216.34228515625,0.02772612776264896,2
llama4,True,False,3.0,pim,147,93,0.005802139661319409,229.8564453125,0.030100289669859243,3
llama4,True,False,3.0,pim,148,93,0.005865266755378083,243.375,0.0321522441333688,4
llama4,True,False,3.0,pim,149,93,0.005770836046362189,256.8837890625,0.03416126302678138,5
llama4,True,False,3.0,pim,150,93,0.005802399866239936,270.42333984375,0.035874863556147524,6
llama4,True,False,3.0,pim,151,93,0.00586577352279861,283.95263671875,0.03738926379995458,7
llama4,True,False,3.0,pim,152,93,0.005834221162554105,297.43994140625,0.03866259742074279,8
llama4,True,False,3.0,pim,153,92,0.005864493234675179,308.7607421875,0.04368876643483027,9
llama4,True,False,3.0,pim,154,93,0.005803718353140843,322.19873046875,0.04431979515483351,10
llama4,True,False,3.0,pim,155,93,0.00577216162732177,335.62353515625,0.04479546631930848,11
llama4,True,False,3.0,pim,156,93,0.005740604355805875,349.0712890625,0.0457059686414525,12
llama4,True,False,3.0,pim,157,92,0.0057711180791555575,359.53466796875,0.05118097691389531,13
