model,sparse_enable,scheduling_enable,qps,length,request,hw,energy_qkv,energy_spat_score_context,energy_spat_similarity,energy_spat_softmax,energy_proj,energy_comm,energy_norm,energy_moe,energy_ffn,energy_scheduling,energy_promotion,energy_balance,energy_sum,energy_mem_energy,energy_compute_energy,latency_qkv,latency_spat_score_context,latency_spat_similarity,latency_spat_softmax,latency_proj,latency_comm,latency_norm,latency_moe,latency_ffn,latency_scheduling,latency_promotion,latency_balance,latency_sum
qwen3,True,True,12.0,1024,256,gpu,288.42465792360576,3777.6697879506764,2360.4377098352593,624.6799561753807,124.92384289947773,489.5837515677625,73.86295777099596,10653.134908388278,0,0,0,0,18392.717572504953,11644.462554383668,5426.773514226766,0.03973388671875,7.057353074800004,0.6387810136075132,0.02000242469875957,0.01702880859375,0.7233333333333483,0.00011086463928222656,2.9642294347286224,0,0,0,0,11.46057284112004
qwen3,True,True,12.0,1024,256,gpu,0.56332941000704,399.4704366223872,1.50686518439616,0.39851231643648016,0.24399188066304,0.9562182647808,0.14426358939647999,20.806904117985304,0,0,0,0,424.0905213860532,16.9489515856077,9.242780955844507,7.76052474975586e-05,4.53801906800503,0.00040727326995693147,1.2760474419337697e-05,3.325939178466797e-05,0.0014127604166666668,2.1653249859809875e-07,0.005789510614704341,0,0,0,0,4.5457524539525584
qwen3,True,True,12.0,1024,256,gpu,0.56332941000704,447.55659634896887,1.4936818957004792,0.3950695025049602,0.24399188066304,0.9562182647808,0.14426358939647999,20.537580098682916,0,0,0,0,471.8907309907051,16.742975507333146,9.150710890154267,7.76052474975586e-05,5.087252779889502,0.0004036887548863888,1.26502345665358e-05,3.325939178466797e-05,0.0014127604166666668,2.1653249859809875e-07,0.005706308002118021,0,0,0,0,5.09489926846952
