model,request,length,sparse_enable,scheduling_enable,qps,hardware_name,pim_latency,pim_energy,sparse_pim_latency,sparse_pim_energy
llama4,64,4096,True,False,0.0,pim,3.85825e-05,0.00108761945856,3.419e-05,0.0003555290385599992
llama4,64,4096,True,False,0.0,pim,0,0,0,0
