model,sparse_enable,scheduling_enable,qps,hardware_name,pim_latency,pim_energy,sparse_pim_latency,sparse_pim_energy
llama4,True,True,4,pim,0.4480890035861622,0.15744200325384033,0.0006311999999999986,0.044027608623840024
llama4,True,True,4,pim,0.8190389635796792,0.15352548231343985,0.0006154199999999989,0.04273027423344042
