model,sparse_enable,scheduling_enable,qps,length,request,hw,energy_qkv,energy_spat_score_context,energy_spat_similarity,energy_spat_softmax,energy_proj,energy_comm,energy_norm,energy_moe,energy_ffn,energy_scheduling,energy_promotion,energy_balance,energy_sum,energy_mem_energy,energy_compute_energy,latency_qkv,latency_spat_score_context,latency_spat_similarity,latency_spat_softmax,latency_proj,latency_comm,latency_norm,latency_moe,latency_ffn,latency_scheduling,latency_promotion,latency_balance,latency_sum
qwen,True,False,1.5,1024,64,gpu,337.26378599775904,772.1990098846821,482.49749840255475,127.65394931005436,145.1982601794328,244.79187578389346,36.93147888549759,13514.017640931936,0,0,0,0,15660.553499362159,10226.648102255442,5167.898999156931,0.0794677734375,1.442580969999999,0.13051137630827725,0.004087514707862283,0.0340576171875,0.36166666666667646,0.00022172927856445312,4.011470675468445,0,0,0,0,6.06406432305453
qwen,True,False,1.5,1024,64,gpu,337.26378599775904,736.2108012050732,460.01211638359354,121.70846499969026,145.1982601794328,244.79187578389346,36.93147888549759,11721.396968484463,0,0,0,0,13803.513751906428,8975.825656674711,4573.765898502111,0.0794677734375,1.3753520263999988,0.1244355195085518,0.0038971386584307766,0.0340576171875,0.36166666666667646,0.00022172927856445312,3.4576740860939026,0,0,0,0,5.436772557230903
qwen,True,False,1.5,1024,64,gpu,337.26378599775904,798.45070833194,498.9058759290613,132.0114246880665,145.1982601794328,244.79187578389346,36.93147888549759,13100.335947303118,0,0,0,0,15293.889357087359,9978.320168749811,5039.911126830956,0.0794677734375,1.4916337456000006,0.13497880444629118,0.004227042272759718,0.0340576171875,0.36166666666667646,0.00022172927856445312,3.883671462535858,0,0,0,0,5.989924841424869
qwen,True,False,1.5,1024,64,gpu,168.6318929988816,340.9935119574834,213.058322538325,56.349495378616325,72.5991300897179,122.39593789194062,18.46573944274899,6757.008820495596,0,0,0,0,7749.502850794316,5060.691315530065,2571.399530224256,0.03973388671875,0.6370132091999998,0.05759613882401027,0.001804326402634615,0.01702880859375,0.18083333333333707,0.00011086463928222656,2.0057353377342224,0,0,0,0,2.9398559054459894
