model,sparse_enable,scheduling_enable,qps,length,request,hw,energy_qkv,energy_spat_score_context,energy_spat_similarity,energy_spat_softmax,energy_proj,energy_comm,energy_norm,energy_moe,energy_ffn,energy_scheduling,energy_promotion,energy_balance,energy_sum,energy_mem_energy,energy_compute_energy,latency_qkv,latency_spat_score_context,latency_spat_similarity,latency_spat_softmax,latency_proj,latency_comm,latency_norm,latency_moe,latency_ffn,latency_scheduling,latency_promotion,latency_balance,latency_sum
llama4,True,False,3.5,1024,256,gpu,96.54934010068975,1094.2166471383441,683.0316511140248,81.15990319595538,69.38745152471068,315.86048488243244,47.65352114257972,4550.696638866282,237.6031635347854,0,0,0,7176.158801501294,4529.449878566719,2280.220334994644,0.0128173828125,2.2007513087999984,0.1991729736328125,0.006237030029296875,0.0091552734375,0.4666666666666552,7.152557373046875e-05,1.3416838645935059,0.030220985412597656,0,0,0,4.266777010958608
llama4,True,False,3.5,1024,256,gpu,96.54934010068975,1094.2166471383441,683.0316511140248,81.15990319595538,69.38745152471068,315.86048488243244,47.65352114257972,4550.696638866282,237.6031635347854,0,0,0,7176.158801501294,4529.449878566719,2280.220334994644,0.0128173828125,2.2007513087999984,0.1991729736328125,0.006237030029296875,0.0091552734375,0.4666666666666552,7.152557373046875e-05,1.3416838645935059,0.030220985412597656,0,0,0,4.266777010958608
llama4,True,False,3.5,1024,256,gpu,96.54934010068975,1094.2166471383441,683.0316511140248,81.15990319595538,69.38745152471068,315.86048488243244,47.65352114257972,4550.696638866282,237.6031635347854,0,0,0,7176.158801501294,4529.449878566719,2280.220334994644,0.0128173828125,2.2007513087999984,0.1991729736328125,0.006237030029296875,0.0091552734375,0.4666666666666552,7.152557373046875e-05,1.3416838645935059,0.030220985412597656,0,0,0,4.266777010958608
llama4,True,False,3.5,1024,256,gpu,193.09868020138438,2516.2778501474286,1570.4140643006222,186.5983280025601,138.77490304941983,631.7209697648649,95.30704228515957,8959.05118959498,475.2063270695748,0,0,0,14766.44935442118,9332.212872571692,4589.815987306857,0.025634765625,5.062033824,0.4577841656282544,0.014339831977849826,0.018310546875,0.9333333333333481,0.0001430511474609375,2.6394081115722656,0.06044197082519531,0,0,0,9.211429600984136
