model,sparse_enable,scheduling_enable,qps,length,request,hw,energy_qkv,energy_spat_score_context,energy_spat_similarity,energy_spat_softmax,energy_proj,energy_comm,energy_norm,energy_moe,energy_ffn,energy_scheduling,energy_promotion,energy_balance,energy_sum,energy_mem_energy,energy_compute_energy,latency_qkv,latency_spat_score_context,latency_spat_similarity,latency_spat_softmax,latency_proj,latency_comm,latency_norm,latency_moe,latency_ffn,latency_scheduling,latency_promotion,latency_balance,latency_sum
qwen,True,False,4.0,1024,256,gpu,144.2123289618028,760.8087445346715,475.38871925211146,125.7978499537305,62.46192144973803,244.79187578388422,36.931478885498755,4981.832709494417,0,0,0,0,6832.225628317747,4273.782425511886,2293.302943498254,0.019866943359375,1.421318553600002,0.1286325454711914,0.0040280818939208984,0.008514404296875,0.36166666666666947,5.543231964111328e-05,1.3756153732538223,0,0,0,0,3.319698000861505
qwen,True,False,4.0,1024,256,gpu,144.2123289618028,760.8087445346715,475.38871925211146,125.7978499537305,62.46192144973803,244.79187578388422,36.931478885498755,4981.832709494417,0,0,0,0,6832.225628317747,4273.782425511886,2293.302943498254,0.019866943359375,1.421318553600002,0.1286325454711914,0.0040280818939208984,0.008514404296875,0.36166666666666947,5.543231964111328e-05,1.3756153732538223,0,0,0,0,3.319698000861505
qwen,True,False,4.0,1024,256,gpu,144.2123289618028,760.8087445346715,475.38871925211146,125.7978499537305,62.46192144973803,244.79187578388422,36.931478885498755,4981.832709494417,0,0,0,0,6832.225628317747,4273.782425511886,2293.302943498254,0.019866943359375,1.421318553600002,0.1286325454711914,0.0040280818939208984,0.008514404296875,0.36166666666666947,5.543231964111328e-05,1.3756153732538223,0,0,0,0,3.319698000861505
qwen,True,False,4.0,1024,256,gpu,144.2123289618028,760.8087445346715,475.38871925211146,125.7978499537305,62.46192144973803,244.79187578388422,36.931478885498755,4981.832709494417,0,0,0,0,6832.225628317747,4273.782425511886,2293.302943498254,0.019866943359375,1.421318553600002,0.1286325454711914,0.0040280818939208984,0.008514404296875,0.36166666666666947,5.543231964111328e-05,1.3756153732538223,0,0,0,0,3.319698000861505
qwen,True,False,4.0,1024,256,gpu,288.42465792360576,1734.31922163162,1083.6480766233958,286.6456325510553,124.92384289947773,489.5837515677625,73.86295777099596,10584.187959446424,0,0,0,0,14665.596100402026,9214.084386655104,4845.934130822732,0.03973388671875,3.2399271055999996,0.2930213406216353,0.009178472309940844,0.01702880859375,0.7233333333333483,0.00011086463928222656,2.9429295659065247,0,0,0,0,7.265263377723242
