model,sparse_enable,scheduling_enable,qps,length,request,hw,energy_qkv,energy_spat_score_context,energy_spat_similarity,energy_spat_softmax,energy_proj,energy_comm,energy_norm,energy_moe,energy_ffn,energy_scheduling,energy_promotion,energy_balance,energy_sum,energy_mem_energy,energy_compute_energy,latency_qkv,latency_spat_score_context,latency_spat_similarity,latency_spat_softmax,latency_proj,latency_comm,latency_norm,latency_moe,latency_ffn,latency_scheduling,latency_promotion,latency_balance,latency_sum
llama4,True,False,3.5,1024,64,gpu,55.922416806788966,802.561204262953,202.68132104088576,24.082774589030432,40.05173384970205,79.89049373491211,12.052990210867332,2143.3262839585477,134.35213238501356,0,0,0,3494.921350839865,1955.3646305709442,953.9887863051111,0.012967586517333984,6.108683244128591,0.05907904542982578,0.0018507290224079043,0.009262561798095703,0.11803385416666372,7.236376404762268e-05,0.6458104122430086,0.030575137585401535,0,0,0,6.986334934655351
llama4,True,False,3.5,1024,64,gpu,63.47950015905774,821.5464054815537,241.03300609485314,28.639945672703995,45.46413031587796,90.68650640179213,13.681772671795354,2432.964970980525,152.5078259505559,0,0,0,3890.004063729902,2239.3765194880757,1087.1426966473653,0.014719963073730469,5.747660076454885,0.07026860397309065,0.002200941526098177,0.010514259338378906,0.13398437499999724,8.21426510810852e-05,0.7330820895731449,0.03470691293478012,0,0,0,6.747219364525144
llama4,True,False,3.5,1024,64,gpu,221.09866722067397,2147.038636285745,1340.0873645382908,159.2317491425282,158.35125661041266,315.8604848824435,47.65352114257981,8474.000443149736,531.1837203175993,0,0,0,13394.505843290051,8703.587553907179,3973.4805088085304,0.05126953125,4.31878128,0.3907014196738601,0.012236746988492087,0.03662109375,0.4666666666666855,0.000286102294921875,2.5533199310302734,0.12088394165039062,0,0,0,7.950766713304885
llama4,True,False,3.5,1024,64,gpu,110.5493336103349,758.1644637813956,473.1908609030399,56.22534104924166,79.17562830520357,157.93024244121622,23.826760571289892,4237.000221574438,265.5918601587917,0,0,0,6161.654712395446,3996.358141764056,1912.9303728388,0.025634765625,1.5251347584000015,0.13794764410704374,0.00432084227213636,0.018310546875,0.23333333333333703,0.0001430511474609375,1.2766599655151367,0.06044197082519531,0,0,0,3.281926878100324
