model,sparse_enable,scheduling_enable,qps,length,request,hw,energy_qkv,energy_spat_score_context,energy_spat_similarity,energy_spat_softmax,energy_proj,energy_comm,energy_norm,energy_moe,energy_ffn,energy_scheduling,energy_promotion,energy_balance,energy_sum,energy_mem_energy,energy_compute_energy,latency_qkv,latency_spat_score_context,latency_spat_similarity,latency_spat_softmax,latency_proj,latency_comm,latency_norm,latency_moe,latency_ffn,latency_scheduling,latency_promotion,latency_balance,latency_sum
qwen,True,False,2.0,1024,64,gpu,185.09985129955322,594.757347383644,269.3859983983807,71.27824099774463,79.68888888754162,134.34866620170104,20.26903431020491,6735.752518304479,0,0,0,0,8090.580545783938,5161.910255460117,2616.320444858916,0.04361414909362793,2.673702781933744,0.07287915324559435,0.002282348959852243,0.0186917781829834,0.198492838541671,0.0001216912642121315,1.9911885220790282,0,0,0,0,5.000973263300715
qwen,True,False,2.0,1024,64,gpu,175.8777946511771,579.0208788395518,256.38190141159413,67.82425332996094,75.71862396076034,127.65513834823487,19.259189184429594,6759.710990634778,0,0,0,0,8061.448770361285,5147.971237949935,2603.279368338094,0.04144120216369629,2.6926879301122435,0.06933731492608786,0.0021717513209296158,0.017760515213012695,0.188603515625004,0.00011562835425138474,2.0030588877853006,0,0,0,0,5.015176745500523
qwen,True,False,2.0,1024,64,gpu,337.26378599775904,1005.3582324761803,628.1878635243658,166.21254080225256,145.1982601794328,244.79187578389346,36.93147888549759,13514.017640931936,0,0,0,0,16077.961678566111,10498.65981848113,5231.713176400174,0.0794677734375,1.8781653800000002,0.16994315959163941,0.005322171455190983,0.0340576171875,0.36166666666667646,0.00022172927856445312,4.011470675468445,0,0,0,0,6.540315173085184
qwen,True,False,2.0,1024,64,gpu,168.6318929988816,420.81057116255243,262.9344607325438,69.55529313060866,72.5991300897179,122.39593789194062,18.46573944274899,6757.008820495596,0,0,0,0,7892.401845945652,5153.812369886438,2593.5562435470342,0.03973388671875,0.7861298804000003,0.0711053388658911,0.0022271796933637233,0.01702880859375,0.18083333333333707,0.00011086463928222656,2.0057353377342224,0,0,0,0,3.102904629978598
